model,term,log_PR,se,PR,lower,upper,p,df,missing_information
M3,insurancePublic without private,-0.327689225986405,0.0719961508172653,0.720586924602291,0.625642504233416,0.829939641879041,6.00578992055854e-06,965.792220046063,0.0116350014074657
M3,insuranceMilitary only,-0.205910417932602,0.230680524217718,0.813905984397992,0.517578489553614,1.27988887639088,0.372278613946131,981.623987175027,0.00414976308570037
M3,insuranceUninsured,0.583994168307143,0.0941463179675759,1.79318643450765,1.49067853880478,2.15708317064821,8.30802377655473e-10,934.246520450077,0.0203343070844763
M3,hypertensionYes,-0.0125914794505921,0.0726831911267607,0.987487461551417,0.856223234419605,1.13887529270595,0.862500265936617,979.57946749884,0.00552033990746329
M3,diabetesYes,0.115635997827954,0.0755157324985055,1.12258717358469,0.96796931286505,1.30190280368171,0.12602162238351,981.318859907349,0.00437230927332074
M3,coronaryYes,0.31387159406092,0.0740171357914085,1.36871397425996,1.18367185117741,1.582683529621,2.44089493511764e-05,980.335945599409,0.0050431852540837
M3,smokingFormer,-0.0170978951076932,0.0751350369022115,0.983047444388826,0.848282202199356,1.1392226259302,0.820034053673245,980.25669213908,0.00509461818686504
M3,smokingCurrent,0.19329725738376,0.0794982238867285,1.21324338547678,1.03799465928342,1.41808004428397,0.015216455893917,978.53811381549,0.006133312522594
M3,fairpoorFair or poor,0.456602906411687,0.0737876610927199,1.5787018673761,1.36588541795421,1.82467691161802,8.93862297770765e-10,979.790731206794,0.0053900589114853
M3,disabilityWith disability,0.174577677024486,0.0634690051366192,1.19074323218401,1.05129963948821,1.34868251803287,0.0060580810362616,981.6765108642,0.00411066685630009
Age_M1,(Intercept),-2.46529150748477,0.175759697467583,0.084984065269407,0.0601935067389891,0.119984558816819,6.09095305618827e-41,1002.00595829196,0.00199003795300783
Age_M1,yearf2020,-0.144308929251512,0.131878547875585,0.865620291320036,0.668246120215021,1.12129119208935,0.274105567548243,1002.00595829196,0.00199003795300783
Age_M1,yearf2021,-0.0694923064803146,0.111336747397533,0.932867310389964,0.749782415644192,1.16065861326785,0.532662452369672,1002.00595829196,0.00199003795300783
Age_M1,yearf2022,-0.188532168417601,0.119960259445884,0.828173861967499,0.654466877262929,1.047985726206,0.116353963711088,1002.00595829196,0.00199003795300783
Age_M1,yearf2023,-0.236479519463417,0.112264710025175,0.789402049513965,0.633319393556238,0.983951545013777,0.0354138222937908,1002.00595829196,0.00199003795300783
Age_M1,yearf2024,0.0215390267629129,0.102045610447828,1.02177266603886,0.836349595509509,1.24830499909327,0.832873581219987,1002.00595829196,0.00199003795300783
Age_M1,yearf2025,-0.154693170693823,0.117397572038616,0.856677991075714,0.680405418065156,1.07861748438229,0.18790987696389,1002.00595829196,0.00199003795300783
Age_M1,young18-64,0.921074150488504,0.0679044280776806,2.51198719356161,2.19860476350047,2.87003820121406,1.33023503613009e-38,1002.00595829196,0.00199003795300783
Age_M1,sex2,0.249033550104618,0.065097376571196,1.28278506992116,1.1289530895855,1.45757830931382,0.000138548396306634,1002.00595829196,0.00199003795300783
Age_M1,race2,-0.0593909032007965,0.123782294452348,0.942338334079541,0.739121361283462,1.20142859128549,0.631473414938133,1002.00595829196,0.00199003795300783
Age_M1,race3,-0.0534034304352098,0.135595759311075,0.947997484288064,0.726521180212947,1.23698971852835,0.693780805019393,1002.00595829196,0.00199003795300783
Age_M1,race4,-0.454148475736577,0.293754167242978,0.634988445869189,0.356795546595354,1.13008788992721,0.122416597389011,1002.00595829196,0.00199003795300783
Age_M1,race5,-0.185059584371105,0.324382621833343,0.831054764501354,0.439724565260459,1.57064689163161,0.568467992978768,1002.00595829196,0.00199003795300783
Age_M1,race6,0.0672230227296198,0.242095119510991,1.06953398196581,0.665079604762274,1.71994890594865,0.781321477986478,1002.00595829196,0.00199003795300783
Age_M1,race7,-0.0119690667678307,0.344767526616531,0.988102277586355,0.50231984698303,1.9436741686305,0.972312845471802,1002.00595829196,0.00199003795300783
Age_M1,region2,0.251708585243685,0.119464738925696,1.28622115883937,1.01742897043908,1.62602492902491,0.035368265025512,1002.00595829196,0.00199003795300783
Age_M1,region3,0.44185394993488,0.11048040625815,1.55558853003635,1.25239091579448,1.93218877928827,6.81737797135664e-05,1002.00595829196,0.00199003795300783
Age_M1,region4,0.089643706522276,0.136109360412419,1.09378450598619,0.837404239480835,1.4286583338498,0.510294142973003,1002.00595829196,0.00199003795300783
